UF,ESTADO,CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,DETALHE_SITUACAO_CAND,NR_PARTIDO,SG_PARTIDO,GENERO,COR_RACA,REELEICAO
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620397,40190,DELEGADA GLEIDE ANGELO,DEFERIDO,40,PSB,FEMININO,PARDA,S
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618836,1240,PROFESSORA EDIVANIA ARCANJO,DEFERIDO,12,PDT,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609869,51022,CAROL GUIMARÃES,DEFERIDO,51,PATRIOTA,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609880,51456,BRUNO PEREIRA,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718651,36444,LELA DOS BICHOS,DEFERIDO,36,AGIR,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619988,14300,IRMÃO TUTUI,INDEFERIDO COM RECURSO,14,PTB,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001595475,1023,DRA VERA LOPES,DEFERIDO,10,REPUBLICANOS,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001620150,1410,PROF JOÃO GALDINO,DEFERIDO,14,PTB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001604106,4567,OLAVO MORAIS,DEFERIDO,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613281,1516,NINHO,DEFERIDO,15,MDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610399,7075,BRUNO SERGIO COLETIVO AVANTE,DEFERIDO,70,AVANTE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001721979,3535,PAULA FERNANDA,DEFERIDO,35,PMB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608974,43643,JOÃO DE NADEGI,DEFERIDO,43,PV,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718776,3695,DANIELA FIDELIS,DEFERIDO,36,AGIR,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609028,1314,CARLOS VERAS,DEFERIDO,13,PT,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618743,11022,DELEGADO LESSA,DEFERIDO,11,PP,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613276,1580,PRISCILA FERRAZ,DEFERIDO,15,MDB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605486,23323,EUNICE MELO,DEFERIDO,23,CIDADANIA,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609859,51651,BETO ACCIOLY,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619691,22700,NINO DE ENOQUE,DEFERIDO,22,PL,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001724675,45345,CRISTIANY TORRES,RENÚNCIA,45,PSDB,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620369,40222,POLLYANA DIAS,DEFERIDO,40,PSB,FEMININO,AMARELA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618731,11300,ZÉ CARLOS CORREDOR,DEFERIDO,11,PP,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001619891,4004,FELIPE CARRERAS,DEFERIDO,40,PSB,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609080,2222,ANDRÉ FERREIRA,DEFERIDO,22,PL,MASCULINO,PARDA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001717062,28888,JOSÉ ALVES DOAÇÕES,DEFERIDO,28,PRTB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610736,77234,OLIMPIO,DEFERIDO,77,SOLIDARIEDADE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619715,22380,MARINHO,DEFERIDO,22,PL,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001620140,1422,JOCTÂ BARROS,DEFERIDO,14,PTB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001726026,45100,EDUINO FILHO,RENÚNCIA,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618620,1100,LULA DA FONTE,DEFERIDO,11,PP,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608980,13613,HELENO ARAÚJO,DEFERIDO,13,PT,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608982,65000,TADEU ANJOS,DEFERIDO,65,PC do B,MASCULINO,BRANCA,N
PE,PERNAMBUCO,SENADOR,170001608748,456,GUILHERME COELHO,DEFERIDO,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618761,11188,EUMA LEONIDAS,DEFERIDO,11,PP,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595438,10211,JOSÉ CARLOS,DEFERIDO,10,REPUBLICANOS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609860,51999,DR. ANDERSON AQUINO,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001613441,70100,PASTOR WALDECK,DEFERIDO,70,AVANTE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001620148,1477,RÔMULO BITTENCOURT,RENÚNCIA,14,PTB,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608981,13111,WEDSON GALINDO,DEFERIDO,13,PT,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001602560,1944,ANDREZA ROMERO,DEFERIDO,19,PODE,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718018,3313,DIOGENES LIMA,DEFERIDO,33,PMN,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595421,10190,SGT RAUL,DEFERIDO,10,REPUBLICANOS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001717060,28123,PASTOR AMINADABE FLOR,DEFERIDO,28,PRTB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001604071,16000,JOSÉ LAURENTINO,DEFERIDO,16,PSTU,MASCULINO,PRETA,N
PE,PERNAMBUCO,SENADOR,170001604083,222,GILSON MACHADO,DEFERIDO,22,PL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001610410,7001,BELARMINO SILVA,DEFERIDO,70,AVANTE,MASCULINO,PARDA,N
PE,PERNAMBUCO,1º SUPLENTE,170001613412,500,LU RIBEIRO,DEFERIDO,50,PSOL,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605485,45111,NEIDINHA DE WELBER,DEFERIDO,45,PSDB,FEMININO,INDÍGENA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609647,5177,PERU,DEFERIDO,51,PATRIOTA,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001595452,1015,POLICIAL ALYNE ANNE,DEFERIDO,10,REPUBLICANOS,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609034,4321,MAÍRA VILAR,DEFERIDO,43,PV,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001723517,90190,BERTINHO,INDEFERIDO COM RECURSO,90,PROS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609307,44678,RAFAEL CAVALCANTI,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001596604,3000,JUNIOR SANTIAGO,DEFERIDO,30,NOVO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618427,18318,VALTER COUTO,DEFERIDO,18,REDE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608961,13456,PROF. GILMAR SANTOS,DEFERIDO,13,PT,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609033,1320,GORETHE LUCENA COLETIVO LINDU,DEFERIDO,13,PT,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001715593,2100,ANTÔNIO OXIS,DEFERIDO,21,PCB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610725,77333,VALDECK FARIAS,DEFERIDO,77,SOLIDARIEDADE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001595453,1044,DRA KARINA CORREA,DEFERIDO,10,REPUBLICANOS,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618727,11344,ANUNCIADO VIEIRA ,DEFERIDO,11,PP,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609082,2255,ANTONIO DE LEMOS,DEFERIDO,22,PL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618617,1189,FERNANDO VELOSO,DEFERIDO,11,PP,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613262,1522,TONYNHO RODRIGUES,DEFERIDO,15,MDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618410,50250,AELSON DA HORA,DEFERIDO,50,PSOL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609265,44444,ROMERO,DEFERIDO,44,UNIÃO,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620364,40400,CAYO ALBINO,DEFERIDO,40,PSB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722278,35010,MAURICIO PEDREIRO,DEFERIDO,35,PMB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001600158,80180,NATALIA LÚCIA,DEFERIDO,80,UP,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605478,45133,CARLOS BRAGA,DEFERIDO,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620386,40110,SILVANA RODRIGUES,DEFERIDO,40,PSB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718661,36007,PROF LAERCIO CRUZ,DEFERIDO,36,AGIR,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001634984,2827,NELSON DAS BARREIRAS,DEFERIDO,28,PRTB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609124,4434,CAROL PAIVA,DEFERIDO,44,UNIÃO,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722262,35777,IRMÃO LEDILSON DA OFICINA,INDEFERIDO,35,PMB,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620394,40444,ERIBERTO FILHO,DEFERIDO,40,PSB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001620388,40000,PAULO JUCÁ,DEFERIDO,40,PSB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609863,51100,LÉO QUINTAS,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001613442,70555,WASHINGTON DA UMPE,DEFERIDO,70,AVANTE,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001613821,44144,ZECA,DEFERIDO COM RECURSO,44,UNIÃO,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609886,51111,JOÃO LIRA,DEFERIDO,51,PATRIOTA,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608978,65613,BERTOTTI,DEFERIDO,65,PC do B,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001613272,1511,ZE MAURICIO,RENÚNCIA,15,MDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001604099,4500,GLAUCIA ANDRADE,DEFERIDO,45,PSDB,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001605498,23777,KEILA CERQUEIRA A SINDICA,DEFERIDO,23,CIDADANIA,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001722264,35100,ZITTO,DEFERIDO,35,PMB,MASCULINO,INDÍGENA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001604092,4577,BRUNO RIBEIRO,DEFERIDO,45,PSDB,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618839,1213,DINHO É JUNTOS POR PERNAMBUCO,DEFERIDO,12,PDT,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001595446,10212,SANDRO FERRAZ,DEFERIDO,10,REPUBLICANOS,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718015,3312,CAMILA SANTOS,DEFERIDO,33,PMN,FEMININO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001618428,18718,CRISTIANO NASCIMENTO,DEFERIDO,18,REDE,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001608955,65444,REGIVANDO SIQUEIRA,DEFERIDO,65,PC do B,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619713,22223,XANDE BOLA,DEFERIDO,22,PL,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001734027,7090,CENIRA DA SAÚDE,DEFERIDO,70,AVANTE,FEMININO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001618605,1122,CLARISSA TÉRCIO,DEFERIDO,11,PP,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718131,33644,ABRAÃO BARROS,INDEFERIDO,33,PMN,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609131,4452,GALO CEGO ,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001619892,4020,TADEU ALENCAR,DEFERIDO,40,PSB,MASCULINO,BRANCA,S
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001610752,77137,HIURI BARRETO,DEFERIDO,77,SOLIDARIEDADE,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001609119,4417,ELIEZER COSTA,DEFERIDO,44,UNIÃO,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001619985,14101,SORAIA ALVES,DEFERIDO,14,PTB,FEMININO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001609883,51622,IRMÃO ANDRÉ PATRIOTA,DEFERIDO,51,PATRIOTA,MASCULINO,PARDA,N
PE,PERNAMBUCO,DEPUTADO FEDERAL,170001718019,3399,TOTA V-8 E V-9,INDEFERIDO,33,PMN,MASCULINO,PRETA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001718645,36136,CORRETOR VALMIR,DEFERIDO,36,AGIR,MASCULINO,BRANCA,N
PE,PERNAMBUCO,DEPUTADO ESTADUAL,170001739178,44844,NETO G DE GALEGO DE IBIRAJUBA,PENDENTE DE JULGAMENTO,44,UNIÃO,MASCULINO,BRANCA,N
